tempo_s,bpm_ecg
1.02,85.23
1.74,83.57
2.45,84.99
3.12,88.50
3.79,89.82
4.44,92.02
5.09,92.88
5.74,92.31
6.40,91.46
7.05,92.31
7.69,92.88
8.32,94.94
8.95,96.15
9.57,96.46
10.18,98.36
10.79,98.36
11.40,98.36
12.01,98.04
12.62,99.01
13.22,99.67
13.81,101.01
14.40,102.74
14.99,102.04
15.57,102.74
16.16,101.35
16.78,97.09
17.41,95.24
18.04,94.94
18.68,94.64
19.31,95.24
19.94,94.94
20.57,95.54
21.18,97.40
21.79,98.36
22.40,99.34
23.00,100.00
23.59,100.67
24.18,101.35
24.77,102.39
25.36,101.35
25.96,101.01
26.55,100.33
27.16,99.01
27.79,95.85
28.41,96.46
29.03,96.46
29.65,97.09
30.26,98.68
30.88,96.77
31.49,97.40
32.11,97.09
32.72,97.72
33.34,97.40
33.96,97.09
34.58,96.46
35.19,98.68
35.78,100.67
36.38,101.01
36.96,102.39
37.55,101.69
38.14,101.69
38.75,99.01
39.36,98.36
39.98,97.40
40.59,97.40
41.21,97.09
41.83,97.09
42.45,96.46
43.07,96.77
43.68,97.72
44.29,99.34
44.89,99.67
45.48,101.01
46.08,101.35
46.67,100.67
47.26,102.74
47.85,101.35
48.45,100.33
49.06,98.04
49.67,98.04
50.29,96.77
50.92,95.85
51.55,94.64
52.18,95.54
52.79,97.72
53.09,202.70
53.44,172.41
54.08,93.75
54.69,97.09
55.30,99.01
55.92,97.09
56.55,95.54
57.16,97.40
57.79,96.15
58.41,96.77
59.02,98.36
59.61,100.33
60.22,99.34
60.83,97.40
61.46,96.46
62.10,92.59
62.76,91.19
63.45,87.46
64.15,85.47
64.86,84.03
65.58,84.03
66.29,84.27
67.00,84.03
67.71,84.75
68.41,85.71
69.10,86.71
69.80,86.46
70.49,86.46
71.18,87.72
71.85,88.76
72.52,90.09
73.18,90.09
73.85,90.63
74.51,90.09
75.17,91.74
75.82,92.02
76.45,94.64
77.08,95.85
77.71,95.54
78.32,98.36
78.92,99.67
79.52,99.01
80.12,101.01
80.71,101.35
81.30,101.69
81.89,102.39
82.47,102.74
83.05,102.74
83.64,102.39
84.22,102.74
84.82,100.67
85.44,97.09
86.14,85.71
86.87,81.52
87.57,86.21
88.28,84.27
89.00,83.10
89.72,83.80
90.43,84.03
91.14,84.99
91.81,89.02
92.48,90.63
93.13,91.74
93.77,93.46
94.41,94.34
95.03,96.15
95.65,97.40
96.26,98.68
96.86,99.01
97.46,100.33
98.06,99.67
98.68,97.72
99.32,92.59
100.02,86.21
100.71,87.46
101.37,90.09
102.05,88.24
102.75,85.71
103.44,86.71
104.14,86.46
104.82,87.46
105.50,89.29
106.15,91.19
106.79,93.75
107.41,97.09
108.02,99.34
108.62,100.00
109.22,99.01
109.84,96.46
110.48,93.75
111.13,92.88
111.76,94.94
112.37,98.04
112.99,97.72
113.61,96.46
114.24,95.24
114.87,94.64
115.51,93.75
116.15,94.04
116.78,96.15
117.39,97.72
117.99,99.67
118.59,101.01
119.18,100.67
119.78,101.01
120.38,99.67
120.99,98.36
121.62,94.64
122.27,92.59
122.95,88.50
123.62,89.55
124.28,91.19
124.95,89.55
125.62,89.29
126.28,90.36
126.96,88.50
127.63,89.55
128.30,89.82
128.94,92.88
129.57,95.54
130.19,97.09
130.79,99.67
131.39,101.01
131.98,101.01
132.57,102.04
133.16,101.69
133.74,103.09
134.33,101.69
134.93,100.33
135.54,98.04
136.19,92.59
136.86,89.29
137.56,85.96
138.25,86.96
138.94,86.71
139.62,88.50
140.28,90.63
140.92,93.17
141.56,94.34
142.18,97.09
142.79,98.04
143.41,97.40
144.02,97.72
144.64,97.40
145.24,98.68
145.84,100.33
146.44,101.01
147.04,99.67
147.64,100.00
148.25,98.04
148.87,97.09
149.52,92.31
150.17,91.74
150.82,92.31
151.47,92.31
152.13,91.74
152.77,92.59
153.41,94.64
154.03,95.85
154.65,96.77
155.27,98.04
155.87,98.68
156.48,99.34
157.08,99.67
157.69,99.01
158.30,98.04
158.91,97.40
159.52,99.67
160.12,99.01
160.74,96.77
161.38,94.64
162.02,93.75
162.64,96.77
163.26,96.77
163.87,97.72
164.49,97.09
165.10,97.72
165.71,98.36
166.32,99.34
166.92,100.00
167.51,101.01
168.10,101.69
168.69,102.04
169.28,101.35
169.89,99.01
170.46,104.53
171.06,100.00
171.66,99.67
172.27,98.36
172.89,96.46
173.52,95.54
174.15,95.54
174.77,96.77
175.39,96.46
176.00,98.04
176.61,99.67
177.20,101.69
177.77,104.90
178.34,104.17
178.91,105.26
179.49,103.45
180.10,99.01
180.73,95.54
181.38,92.02
182.04,90.63
182.69,92.02
183.33,94.94
183.99,90.91
184.65,90.91
185.31,90.63
185.97,90.63
186.63,91.46
187.26,94.34
187.89,95.54
188.50,98.68
189.09,101.35
189.67,103.45
190.25,104.17
190.83,102.74
191.44,98.04
192.07,94.94
192.69,96.77
193.32,96.46
193.95,94.34
194.61,90.63
195.29,88.50
195.97,87.98
196.63,91.19
197.28,92.31
197.93,93.17
198.57,93.75
199.20,94.34
199.83,95.54
200.45,96.46
201.07,97.40
201.69,97.09
202.30,98.04
202.90,99.34
203.50,100.00
204.10,100.00
204.70,100.33
205.29,101.01
205.87,103.45
206.47,100.67
207.08,98.68
207.68,99.01
208.30,97.72
208.91,97.72
209.52,99.34
210.10,103.09
210.71,98.68
211.31,100.00
211.91,99.34
212.52,98.68
213.13,97.40
213.75,97.09
214.37,97.72
214.99,96.77
215.60,97.09
216.22,98.04
216.83,97.40
217.51,87.98
218.21,85.96
218.89,88.50
219.59,86.21
220.28,85.96
220.99,84.99
221.70,84.51
222.41,84.75
223.10,86.71
223.77,89.82
224.42,92.31
225.06,93.46
225.69,94.64
226.33,93.75
226.97,94.64
227.60,94.34
228.24,94.04
228.88,94.64
229.52,92.59
230.15,95.54
230.77,97.40
231.40,94.64
232.04,93.75
232.70,90.91
233.38,88.24
234.05,90.09
234.70,92.31
235.33,95.24
235.97,93.75
236.58,97.72
237.18,99.67
237.80,96.77
238.41,99.01
239.03,97.09
239.66,94.34
240.32,91.19
240.99,89.29
241.66,90.09
242.32,91.19
242.98,90.63
243.65,90.09
244.32,89.02
244.99,89.29
245.66,89.82
246.31,92.31
246.94,95.24
247.56,96.77
248.17,99.01
248.77,99.67
249.37,100.33
249.98,98.36
250.55,104.17
251.16,99.01
251.77,97.72
252.41,93.46
253.06,93.17
253.69,95.54
254.35,90.09
255.02,89.82
255.70,87.98
256.39,87.46
257.07,88.24
257.73,90.09
258.39,91.74
259.02,94.34
259.63,99.34
260.23,100.00
260.82,101.01
261.41,102.74
262.01,99.67
262.62,98.04
263.22,100.67
263.84,96.46
264.46,95.85
265.11,92.59
265.77,90.91
266.44,89.55
267.12,88.50
267.78,90.63
268.40,96.77
269.03,94.94
269.65,97.40
270.26,98.04
270.87,99.01
271.47,99.67
272.07,100.67
272.66,101.35
273.25,101.01
273.85,101.01
274.45,99.01
275.13,89.02
275.85,83.10
276.50,92.02
277.16,91.19
277.81,91.74
278.46,92.59
279.07,97.72
279.68,99.34
280.29,97.72
280.91,96.77
281.51,100.33
282.12,98.04
282.73,98.68
283.33,99.34
283.94,99.34
284.55,98.68
285.15,99.67
285.76,98.36
286.37,97.72
286.97,100.00
287.56,101.69
288.16,100.67
288.75,100.67
289.35,100.33
289.96,98.04
290.58,97.09
291.21,95.24
291.84,95.54
292.46,96.77
293.08,97.09
293.67,101.01
294.27,100.33
294.87,99.34
295.49,97.72
296.13,93.46
296.78,92.02
297.44,91.46
298.09,91.74
298.74,92.31
299.38,93.46
300.02,94.94
300.64,96.46
301.26,97.09
301.87,97.40
302.47,100.33
303.07,99.34
303.68,99.34
304.29,98.68
304.92,95.24
305.57,92.02
306.23,91.19
306.90,89.02
307.58,88.76
308.25,89.29
308.91,90.63
309.56,92.02
310.20,94.34
310.82,96.46
311.43,98.04
312.04,98.36
312.64,100.67
313.23,101.35
313.83,99.67
314.45,96.77
315.10,92.02
315.78,88.76
316.46,87.98
317.12,90.63
317.78,91.46
318.44,90.91
319.10,90.63
319.76,91.19
320.41,92.59
321.06,92.59
321.69,94.34
322.32,95.85
322.93,97.40
323.54,98.68
324.14,99.67
324.73,102.74
325.32,102.04
325.90,102.39
326.50,100.67
327.12,96.46
327.76,93.75
328.40,94.04
329.04,93.46
329.67,95.85
330.30,95.24
330.90,98.68
331.51,99.67
332.09,102.04
332.67,103.45
333.26,102.04
333.85,101.69
334.44,102.39
335.03,101.69
335.64,98.68
336.28,92.88
336.91,95.85
337.56,92.02
338.25,87.46
338.90,91.19
339.58,88.76
340.26,88.76
340.94,87.98
341.58,92.88
342.23,93.46
342.86,94.64
343.50,94.04
344.12,96.15
344.75,96.15
345.37,96.15
346.00,95.24
346.62,96.15
347.25,96.15
347.87,95.85
348.51,94.04
349.15,93.75
349.80,92.88
350.45,92.59
351.09,93.17
351.72,95.85
352.33,97.72
352.94,98.04
353.55,98.04
354.17,97.72
