tempo_s,bpm_ecg
1.14,76.92
1.93,76.14
2.71,76.92
3.48,77.32
4.24,79.37
5.01,77.72
5.77,78.74
6.52,80.65
7.27,79.16
8.01,81.97
8.72,84.27
9.40,87.46
10.08,88.24
10.75,89.55
11.43,89.29
12.09,90.36
12.76,90.09
13.42,90.36
14.08,91.19
14.73,92.02
15.39,91.19
16.03,93.17
16.67,94.04
17.31,93.17
17.99,89.02
18.65,90.36
19.34,86.71
20.05,85.47
20.72,88.76
21.42,85.96
22.12,85.47
22.84,83.33
23.58,81.74
24.30,83.10
25.03,81.97
25.75,83.10
26.46,84.99
27.17,84.51
27.87,85.71
28.56,86.71
29.23,89.29
29.91,89.02
30.56,91.46
31.22,90.91
31.89,89.82
32.56,89.02
33.24,88.24
33.92,89.29
34.60,87.98
35.29,86.46
35.98,86.96
36.65,90.09
37.34,86.71
38.03,86.96
38.71,88.24
39.39,88.76
40.07,87.21
40.77,86.46
41.45,87.46
42.16,85.47
42.87,84.03
43.59,83.33
44.31,83.10
45.04,82.64
45.78,81.30
46.50,83.33
47.20,85.23
47.88,88.24
48.57,87.21
49.25,87.46
49.94,87.21
50.62,88.50
51.30,88.76
51.95,92.02
52.60,92.02
53.25,92.59
53.90,92.59
54.54,92.59
55.19,93.46
55.84,92.31
56.48,92.59
57.15,90.63
57.79,92.88
58.43,93.46
59.08,93.17
59.72,94.04
60.37,92.31
61.02,91.19
61.69,89.55
62.36,90.09
63.03,90.09
63.70,89.29
64.37,88.76
65.03,90.91
65.68,92.59
66.33,92.02
67.00,90.09
67.67,89.29
68.34,90.09
69.05,84.51
69.78,82.42
70.52,80.43
71.25,82.19
72.00,80.21
72.74,80.65
73.47,83.10
74.17,85.71
74.87,84.75
75.58,84.75
76.28,85.71
76.97,87.21
77.67,85.96
78.36,86.96
79.04,87.72
79.70,91.74
80.36,90.36
81.03,89.55
81.70,89.29
82.35,92.88
83.00,91.74
83.66,91.46
84.32,91.19
84.98,90.91
85.63,91.19
86.29,92.02
86.94,92.31
87.58,93.46
88.21,94.94
88.83,96.15
89.46,96.46
90.07,98.36
90.69,96.46
91.32,94.94
91.97,92.02
92.63,91.74
93.29,90.91
93.94,91.74
94.60,91.19
95.26,90.91
95.92,90.63
96.58,91.19
97.23,92.31
97.87,92.88
98.51,94.04
99.13,96.46
99.75,96.77
100.37,97.72
100.97,100.33
101.58,97.72
102.20,96.46
102.85,92.31
103.54,87.21
104.25,84.27
104.95,86.46
105.66,84.51
106.36,85.47
107.07,83.80
107.78,84.99
108.48,85.23
109.17,86.96
109.84,89.55
110.51,90.36
111.14,94.34
111.76,97.72
112.37,97.72
112.99,97.09
113.63,94.04
114.31,87.98
115.03,83.57
115.75,82.64
116.48,82.42
117.19,84.75
117.85,90.36
118.52,89.82
119.17,92.02
119.82,92.59
120.49,90.36
121.15,90.09
121.84,86.96
122.54,86.21
123.24,85.23
123.93,87.46
124.57,93.46
125.23,90.36
125.89,91.19
126.57,89.02
127.25,87.72
127.95,85.23
128.66,84.99
129.36,85.96
130.04,87.98
130.73,87.46
131.40,89.02
132.07,89.02
132.75,89.29
133.43,87.72
134.09,90.63
134.74,92.88
135.40,91.19
136.08,87.98
136.80,83.57
137.53,81.52
138.27,81.08
139.00,82.87
139.72,83.33
140.42,85.47
141.11,86.96
141.78,88.76
142.45,90.63
143.10,92.31
143.73,94.04
144.36,95.85
145.00,94.04
145.64,94.04
146.29,92.02
146.98,86.21
147.71,83.10
148.45,80.43
149.17,83.10
149.86,86.96
150.54,88.76
151.20,90.63
151.86,90.91
152.51,92.88
153.15,93.46
153.79,93.17
154.44,92.31
155.10,91.46
155.75,92.59
156.40,92.31
157.05,92.59
157.69,92.59
158.36,90.36
159.03,89.02
159.71,89.02
