tempo_s,bpm_ecg
0.92,88.24
1.59,89.82
2.24,92.88
2.94,85.47
3.75,74.07
4.65,66.96
5.46,73.71
6.32,69.44
7.17,70.75
7.92,80.21
8.61,86.46
9.36,80.21
10.24,68.34
11.12,68.03
12.04,65.08
13.02,61.48
13.96,63.56
14.87,66.37
15.80,64.10
16.74,64.24
17.60,69.44
18.50,66.96
19.39,66.96
20.26,69.61
21.09,72.12
21.82,82.42
22.47,92.31
23.11,93.75
23.78,89.02
24.72,63.97
25.68,62.37
26.61,64.24
27.50,68.03
28.26,78.33
29.00,81.52
29.82,73.35
30.69,68.81
31.52,71.77
32.37,71.09
33.17,74.81
33.97,74.63
34.81,71.60
35.65,71.77
36.45,74.44
37.21,79.37
37.91,85.96
38.55,93.46
39.17,96.15
39.79,96.77
40.45,90.91
41.24,76.53
42.11,68.81
43.00,67.42
43.87,68.65
44.66,76.73
45.45,75.57
46.23,76.53
46.99,79.16
47.73,81.52
48.41,88.24
49.11,85.96
49.85,80.65
50.69,71.26
51.50,73.89
52.32,73.35
53.16,71.60
54.01,70.75
54.83,72.64
55.63,75.00
56.48,71.26
57.29,73.71
58.06,78.12
58.83,78.12
59.63,74.81
60.44,74.07
61.24,75.19
61.97,81.74
62.75,76.92
63.59,71.43
64.47,67.87
65.30,72.82
66.17,68.81
67.02,70.26
67.87,71.26
68.71,71.43
69.56,70.26
70.40,71.77
71.15,79.37
71.95,75.19
72.75,74.81
73.59,71.26
74.42,72.82
75.22,74.63
76.07,70.92
76.92,70.75
77.73,73.53
78.55,73.53
79.34,75.95
80.16,72.99
80.95,75.76
81.61,90.63
82.26,93.17
82.88,95.85
83.51,96.15
84.17,90.63
84.90,82.64
85.72,72.99
86.57,70.75
87.39,72.64
88.17,77.52
88.90,81.52
89.58,88.24
90.24,91.19
90.89,92.88
91.55,90.36
92.24,86.46
92.95,84.75
93.64,87.21
94.29,92.59
94.94,92.31
95.58,92.88
96.19,98.68
96.82,95.24
97.50,88.24
98.25,79.79
99.06,74.07
