tempo_s,bpm_ecg
1.95,59.52
2.93,60.98
3.85,65.22
4.81,62.24
5.86,57.58
6.84,60.98
7.80,62.37
8.66,69.61
9.53,69.12
10.42,67.26
11.37,63.56
12.24,69.12
13.11,68.65
14.03,65.36
14.92,67.42
15.79,68.65
16.65,69.77
17.58,64.94
18.50,64.79
19.39,67.87
20.23,71.26
21.09,69.28
22.02,64.66
22.92,66.67
23.79,69.28
24.68,67.11
25.47,75.95
26.21,81.74
26.94,81.52
27.71,78.53
28.48,77.72
29.30,72.64
30.13,72.82
30.94,73.71
31.74,75.57
32.52,76.53
33.26,81.08
33.99,81.97
34.76,78.53
35.56,75.00
36.33,77.72
37.16,71.77
38.08,65.36
38.96,68.18
39.82,69.77
40.67,70.75
41.49,72.99
42.29,75.19
43.04,80.43
43.80,78.53
44.61,74.26
45.43,73.17
46.24,73.89
47.07,72.64
47.93,69.61
48.70,77.92
49.46,78.33
50.25,76.34
51.04,75.76
51.85,74.44
52.60,79.79
53.35,79.58
54.11,79.16
54.88,77.72
55.65,78.33
56.43,77.12
57.20,77.92
57.94,80.86
58.70,79.37
59.55,70.59
60.46,65.50
61.37,66.23
62.24,68.81
63.14,66.82
64.05,66.08
64.92,68.34
65.75,72.29
66.63,68.81
67.53,66.67
68.42,67.42
69.22,74.63
70.03,74.26
70.85,72.99
71.74,67.57
72.66,65.08
73.52,69.77
74.43,65.93
75.37,63.97
76.28,65.93
77.15,68.97
78.03,68.03
78.93,66.37
79.79,69.93
80.61,73.17
81.48,68.97
82.39,65.93
83.26,69.12
84.08,73.53
84.93,70.59
85.80,68.81
86.69,67.26
87.53,71.26
88.40,69.12
89.30,66.37
90.19,67.42
91.03,71.77
91.87,71.77
92.73,69.77
93.59,69.28
94.42,72.12
95.31,67.87
96.22,65.79
97.14,64.94
98.00,69.77
98.82,73.71
99.68,69.61
100.56,68.18
101.43,68.97
102.27,71.43
103.09,73.35
103.88,75.57
104.65,77.72
105.38,83.10
106.11,82.19
106.87,78.33
107.61,81.30
108.33,82.87
109.09,79.79
109.86,77.92
110.65,75.95
111.43,76.34
112.17,81.30
112.92,79.79
113.68,78.95
114.48,75.38
115.28,74.44
116.05,78.74
116.81,78.95
117.62,73.53
118.50,68.49
119.40,66.82
120.25,69.93
121.07,73.71
121.90,71.94
122.74,71.60
123.58,71.43
124.37,75.57
125.16,76.14
125.96,74.81
126.79,72.29
127.67,68.18
128.55,68.49
129.37,73.53
130.20,72.29
130.97,77.12
131.78,74.26
132.61,72.82
133.38,77.12
134.18,75.00
135.02,72.12
135.90,68.03
136.75,70.09
137.55,75.38
138.34,76.34
139.14,74.26
139.96,73.35
140.82,69.93
141.64,73.17
142.39,79.58
143.12,82.87
143.85,81.74
144.59,81.08
145.31,83.80
146.05,80.65
146.82,78.12
147.62,74.81
148.45,72.29
149.23,76.73
150.07,71.94
150.99,65.36
151.90,65.36
152.76,70.42
153.59,71.77
154.44,70.42
155.31,69.28
156.20,67.26
157.03,72.82
157.82,75.19
158.68,70.42
159.55,68.34
160.45,66.67
161.35,66.96
162.18,72.64
163.02,71.43
163.89,68.49
164.77,68.65
165.64,68.81
166.44,75.19
167.23,75.76
168.06,72.46
168.93,68.34
169.85,65.22
170.73,68.81
171.56,71.77
172.39,72.82
173.23,71.26
174.09,69.28
174.94,71.09
175.72,76.53
176.46,80.86
177.20,81.30
177.98,77.12
178.72,80.65
179.49,78.53
180.26,77.72
181.05,75.57
181.88,72.99
182.68,74.63
183.41,81.74
184.15,81.52
184.89,80.86
185.64,80.43
186.42,76.34
187.20,77.32
187.95,80.43
188.67,82.64
189.41,81.08
190.18,78.12
190.97,76.34
191.75,76.14
192.55,75.76
193.28,81.74
194.01,82.64
194.75,81.08
195.53,76.73
196.31,76.73
197.04,81.97
197.80,78.74
198.57,78.53
199.35,76.34
200.15,75.76
200.91,78.12
201.63,83.33
202.36,82.64
203.09,81.74
203.85,79.58
204.64,75.38
205.40,78.95
206.15,80.21
206.91,79.16
207.68,77.72
208.47,75.95
209.22,80.65
209.98,78.53
210.76,76.92
211.56,75.38
212.36,75.00
213.14,76.34
213.94,75.00
214.69,80.21
215.43,81.30
216.20,78.12
216.96,78.95
217.73,77.12
218.52,75.95
219.33,74.63
220.08,79.79
220.86,77.12
221.64,76.92
222.42,76.34
223.19,78.33
223.93,81.30
224.63,85.23
225.34,84.75
226.04,85.23
226.76,84.27
227.50,80.65
228.29,76.34
229.08,75.95
229.87,75.95
230.66,75.95
231.42,78.33
232.19,78.33
232.99,75.00
233.83,71.26
234.69,69.44
235.53,72.12
236.34,73.35
237.20,69.93
238.05,70.92
238.88,71.77
239.70,73.35
240.50,75.00
241.29,75.95
242.08,76.34
242.83,79.79
243.54,84.03
244.24,85.96
244.96,83.80
245.71,80.21
246.47,78.95
247.21,80.65
247.99,76.92
248.82,71.94
249.68,69.77
250.53,70.92
251.32,76.34
252.10,76.73
252.91,73.89
253.72,74.44
254.52,74.63
255.28,78.53
256.06,77.12
256.90,71.94
257.76,69.28
258.63,69.28
259.43,74.63
260.26,72.64
261.11,70.59
261.99,67.87
262.86,69.44
263.65,75.19
264.47,73.35
265.31,71.43
266.17,69.93
267.00,72.46
267.77,77.52
268.58,74.26
269.43,70.75
270.30,68.65
271.12,73.53
271.93,74.07
272.83,66.23
273.75,65.22
274.62,68.97
275.46,72.12
276.33,68.97
277.24,65.79
278.19,62.76
279.05,69.93
279.87,73.71
280.71,71.43
281.57,69.44
282.47,66.37
283.32,70.92
284.13,74.07
284.99,69.44
285.90,66.08
286.80,67.11
287.64,71.43
288.49,70.09
289.33,71.43
290.16,72.82
290.99,71.60
291.83,71.77
292.63,74.63
293.38,80.00
294.15,78.12
294.94,75.76
295.75,74.26
296.55,75.19
297.32,77.92
298.13,74.44
298.95,72.82
299.75,75.38
300.49,80.43
301.21,83.57
301.93,83.80
302.63,84.99
303.34,85.23
304.06,82.87
304.83,77.72
305.65,73.17
306.43,76.92
307.22,76.53
308.06,70.75
308.97,66.08
309.89,65.50
310.77,68.03
311.57,74.81
312.37,75.19
313.18,74.07
314.03,70.92
314.91,68.18
315.75,71.26
316.54,75.95
317.37,71.94
318.17,75.00
318.97,75.38
319.77,75.00
320.58,74.26
321.32,80.86
322.05,81.97
322.79,80.86
323.55,78.95
324.32,78.12
325.09,78.33
325.83,80.43
326.57,81.08
327.27,85.96
327.97,85.23
328.66,87.98
329.35,86.46
330.09,81.30
330.86,77.52
331.65,76.53
332.41,78.95
333.12,84.27
333.84,83.33
334.58,81.30
335.35,77.52
336.12,77.52
336.90,76.92
337.69,76.73
338.46,77.52
339.20,81.52
339.89,86.21
340.57,88.76
341.23,90.63
341.90,90.09
342.61,84.03
343.32,84.75
344.01,86.96
344.72,84.03
345.50,76.73
346.30,75.00
347.04,81.30
347.82,76.73
348.64,73.71
349.45,73.89
350.24,75.57
351.03,76.53
351.76,82.19
352.48,83.33
353.21,81.52
353.97,79.79
354.67,85.71
355.37,85.71
356.10,81.30
356.88,77.52
357.67,75.76
358.46,75.76
359.27,74.63
360.02,79.16
360.74,84.03
361.46,82.64
362.26,75.76
363.14,67.87
364.01,68.97
364.81,75.19
365.65,71.60
366.52,68.97
367.41,66.82
368.27,69.93
369.06,76.14
369.86,74.81
370.69,72.29
371.52,72.12
372.31,76.34
373.10,76.14
373.94,71.60
