tempo_s,bpm_ecg
1.10,89.82
1.78,87.98
2.48,86.21
3.17,86.21
3.88,84.75
4.64,78.53
5.40,79.16
6.20,75.19
7.00,75.38
7.74,80.86
8.46,82.64
9.20,81.52
9.93,82.64
10.65,83.10
11.37,83.57
12.09,83.33
12.80,83.57
13.53,82.42
14.28,80.65
15.04,78.95
15.78,80.65
16.48,85.23
17.15,89.82
17.84,87.72
18.52,88.24
19.21,86.21
19.90,86.71
20.55,92.31
21.21,92.02
21.87,89.82
22.57,85.96
23.28,84.99
24.01,82.19
24.75,81.08
25.48,81.97
26.20,83.10
26.86,91.19
27.52,90.36
28.18,91.74
28.83,92.02
29.35,114.94
30.11,79.58
30.77,89.82
31.44,90.36
32.12,88.24
32.77,91.46
33.41,94.34
34.09,87.98
34.78,86.96
35.43,92.31
36.10,89.29
36.80,86.71
37.49,86.21
38.18,86.71
38.86,89.02
39.54,87.72
40.17,95.85
40.80,95.54
41.43,94.94
42.07,94.04
42.73,90.09
43.41,88.76
44.08,88.76
44.78,85.96
45.47,86.96
46.14,89.29
46.80,91.19
47.49,87.46
48.14,91.46
48.80,91.19
49.46,90.91
50.14,88.24
50.82,88.50
51.50,88.76
52.16,90.36
52.79,95.24
53.42,94.94
54.04,96.77
54.66,96.77
55.29,94.94
55.95,92.02
56.61,90.36
57.30,86.71
58.02,83.80
58.72,85.23
59.42,85.71
60.09,90.09
60.76,89.02
61.46,85.71
62.17,85.23
62.87,85.23
63.54,89.55
64.21,89.82
64.87,90.36
65.54,89.29
66.22,89.02
66.86,93.75
67.52,90.91
68.19,89.82
68.85,90.91
69.49,93.46
70.15,90.63
70.82,89.82
71.48,90.91
72.12,93.75
72.77,92.31
73.41,93.75
74.05,93.46
74.71,91.46
75.37,90.36
76.05,88.76
76.70,91.19
77.35,92.31
77.99,94.04
78.62,96.15
79.23,98.04
79.84,98.36
80.46,96.77
81.11,91.74
81.79,87.98
82.48,87.21
83.17,87.46
83.87,85.96
84.57,84.75
85.27,86.46
85.96,86.96
86.66,85.71
87.34,87.46
88.02,88.24
88.71,87.72
89.39,88.24
90.03,93.46
90.69,91.46
91.37,88.24
92.06,85.96
92.77,84.75
93.47,86.21
94.13,90.63
94.79,90.91
95.47,88.24
96.14,89.55
96.81,89.82
97.47,91.19
98.11,93.46
98.75,94.04
99.35,98.68
99.97,96.77
100.59,97.09
101.23,94.04
101.89,91.19
102.56,88.76
103.25,86.96
103.94,87.72
104.59,92.02
105.23,93.17
105.86,95.24
106.49,96.15
107.12,95.24
107.75,94.94
108.38,95.54
109.03,92.02
109.65,96.46
110.32,89.82
111.02,85.96
111.74,82.87
112.49,80.00
113.26,78.12
114.01,80.43
114.72,84.27
115.44,82.64
116.12,89.29
116.76,93.75
117.41,91.74
118.07,90.91
118.76,87.21
119.46,85.71
120.18,83.57
120.90,82.64
121.56,90.63
122.23,89.82
122.90,90.36
123.57,88.76
124.24,89.29
124.91,89.55
125.59,89.29
126.26,89.55
126.94,87.21
127.60,91.46
128.26,91.46
128.95,86.21
129.64,87.46
130.34,85.23
131.03,86.71
131.71,89.02
132.34,94.94
132.98,93.75
133.63,92.88
134.27,92.59
134.91,94.04
135.54,95.85
136.17,94.64
136.81,93.46
137.47,90.91
