tempo_s,bpm_ecg
1.03,125.52
1.51,126.05
1.98,127.12
2.45,127.12
2.92,127.66
3.39,128.76
3.85,128.76
4.31,131.00
4.77,131.58
5.22,132.74
5.67,133.33
6.12,133.33
6.57,133.93
7.02,133.93
7.46,133.93
7.91,135.14
8.35,135.14
8.79,136.36
9.24,134.53
9.68,134.53
10.13,134.53
10.58,132.16
11.04,130.43
11.51,129.87
11.98,127.12
12.46,125.52
12.94,123.46
13.44,120.97
13.93,121.46
14.42,123.46
14.91,122.95
15.39,123.46
15.87,124.48
16.35,125.00
16.83,126.05
17.30,126.58
17.78,127.12
18.25,127.12
18.71,128.76
19.18,129.31
19.64,129.87
20.10,131.58
20.55,131.58
21.01,132.16
21.45,133.93
21.90,134.53
22.34,135.14
22.79,135.75
23.23,136.36
23.67,135.75
24.11,135.14
24.55,136.36
24.99,136.36
25.44,135.14
25.89,132.74
26.36,128.21
26.83,126.05
27.31,124.48
27.80,123.46
28.29,122.45
28.78,122.95
29.26,123.97
29.75,123.97
30.23,123.46
30.72,123.97
31.21,122.45
31.69,124.48
32.17,124.48
32.65,124.48
33.13,126.05
33.60,126.58
34.07,127.12
34.54,128.21
35.01,129.31
35.47,129.31
35.93,130.43
36.39,131.00
36.84,131.58
37.30,131.58
37.76,131.58
38.21,131.58
38.67,130.43
39.13,131.00
39.59,129.87
40.05,129.87
40.51,131.00
40.98,129.31
41.44,128.76
41.91,127.66
42.38,128.21
42.85,128.76
43.31,128.76
43.78,128.76
44.24,130.43
44.70,130.43
45.15,131.58
45.61,131.00
46.07,131.58
46.52,132.16
46.98,132.16
47.43,132.16
47.88,133.33
48.33,133.33
48.78,134.53
49.22,135.75
49.66,135.14
50.10,135.75
50.54,136.36
50.99,135.14
51.43,135.75
51.87,135.75
52.32,135.14
52.76,135.75
53.20,136.99
53.64,136.36
54.08,136.36
54.51,136.99
54.95,137.61
55.39,136.99
55.82,137.61
56.26,138.25
56.69,137.61
57.13,136.36
57.57,137.61
58.01,135.14
58.46,135.75
58.90,135.14
59.35,134.53
59.80,133.33
60.24,133.93
60.69,133.33
61.15,132.74
61.60,132.74
62.05,132.16
62.50,132.74
62.96,132.74
63.41,133.33
63.86,132.74
64.31,132.16
64.76,133.33
65.22,132.16
65.67,132.16
66.13,131.58
66.58,131.00
67.04,130.43
67.51,129.31
67.97,129.87
68.43,129.31
68.89,131.00
69.35,130.43
69.81,132.16
70.27,130.43
70.72,132.16
71.17,132.16
71.62,133.33
72.07,133.33
72.52,133.33
72.97,134.53
73.41,135.14
73.86,135.75
74.30,136.36
74.73,138.25
75.17,137.61
75.60,138.89
76.03,138.89
76.46,138.25
76.90,138.25
77.33,138.89
77.77,137.61
78.20,137.61
78.64,137.61
79.07,137.61
79.51,136.99
79.95,137.61
80.39,136.36
80.83,136.36
81.27,135.75
81.71,135.75
82.16,135.14
82.60,135.14
83.04,135.75
83.49,135.14
83.94,133.33
84.39,132.16
84.85,131.58
85.31,129.87
85.77,129.87
86.23,129.87
86.70,129.31
87.16,129.31
87.62,129.87
88.09,129.31
88.55,129.87
89.01,130.43
89.47,130.43
89.92,131.58
90.38,132.16
90.83,132.74
91.28,133.33
91.73,134.53
92.17,134.53
92.61,136.36
93.05,136.36
