tempo_s,bpm_ecg
1.10,76.92
1.85,79.58
2.62,77.72
3.45,72.82
4.30,70.42
5.12,72.82
5.97,70.75
6.82,70.75
7.61,75.57
8.42,74.07
9.26,71.77
10.07,73.89
10.81,81.08
11.53,84.03
12.29,78.74
13.11,72.99
13.94,72.12
14.72,76.73
15.55,72.82
16.40,70.75
17.24,71.43
18.06,72.64
18.87,74.07
19.67,74.81
20.45,76.92
21.20,80.86
21.95,79.16
22.72,78.53
23.49,77.92
24.27,76.53
25.07,75.00
25.89,73.17
26.73,71.60
27.53,75.38
28.29,78.95
29.06,77.32
29.86,74.81
30.66,75.57
31.44,77.12
32.24,74.63
33.09,70.92
33.92,71.77
34.74,73.53
35.57,71.94
36.41,71.77
37.24,72.46
38.03,75.95
38.84,73.35
39.71,69.61
40.61,66.67
41.48,68.81
42.31,71.77
43.17,70.26
44.00,72.29
44.79,75.57
45.56,78.12
46.37,74.44
47.20,72.29
48.03,71.60
48.82,76.73
49.60,76.14
50.40,75.00
51.22,73.35
52.01,76.53
52.79,76.34
53.62,72.82
54.46,71.26
55.26,74.63
56.04,77.12
56.85,74.26
57.65,75.19
58.43,76.34
59.20,78.33
60.00,74.63
60.84,71.60
61.70,69.77
62.51,74.07
63.30,75.95
64.10,75.38
64.92,72.64
65.72,74.81
66.53,74.63
67.35,73.17
68.17,73.17
68.97,75.19
69.75,76.73
70.54,75.57
71.32,77.52
72.07,79.58
72.85,76.92
73.65,74.81
74.45,75.38
75.23,76.34
76.04,74.63
76.84,74.63
77.61,78.12
78.38,77.52
79.16,77.12
79.92,78.95
80.66,81.30
81.43,77.52
82.22,75.95
82.96,81.30
83.67,85.23
84.37,85.23
85.04,89.02
85.72,88.24
86.46,81.08
87.22,79.16
87.95,82.19
88.71,79.16
89.50,75.76
90.28,76.73
91.10,73.89
91.92,73.17
92.69,77.92
93.46,77.12
94.27,74.26
95.09,73.35
95.90,74.26
96.73,72.29
97.58,70.59
98.40,73.35
99.24,70.75
100.12,68.65
100.94,72.64
101.81,68.97
102.68,69.28
103.48,75.38
104.25,77.52
105.06,74.26
105.87,74.26
106.64,77.92
107.40,78.53
108.21,74.44
109.05,70.92
109.93,68.65
110.81,68.03
111.70,67.42
112.56,69.28
113.42,70.26
114.27,70.42
115.08,74.07
115.84,78.74
116.64,74.81
117.46,73.35
118.30,71.77
119.10,74.44
119.95,70.92
120.81,69.44
121.63,73.17
122.49,70.42
123.36,68.81
124.18,72.99
125.01,72.29
125.85,71.60
126.67,72.99
127.45,77.12
128.27,72.99
129.10,72.64
129.91,73.89
130.73,72.64
131.59,69.93
132.46,69.28
133.32,69.93
134.18,69.61
134.99,73.53
135.79,75.38
136.60,74.26
137.40,75.00
138.20,74.81
139.04,71.09
139.89,70.92
140.69,74.63
141.52,72.29
142.36,72.12
143.16,74.63
143.96,75.38
144.79,72.12
145.61,72.64
146.41,75.00
147.23,73.17
148.07,71.94
148.86,75.57
149.69,72.64
150.55,69.61
151.39,71.60
152.22,72.12
153.07,70.59
153.90,72.29
154.70,74.63
155.52,73.35
156.34,73.53
157.13,75.95
157.93,74.63
158.75,73.71
159.53,76.92
160.29,78.12
161.09,75.76
161.90,73.71
162.70,75.38
163.50,75.00
164.31,73.89
165.12,73.89
165.89,77.92
166.69,74.81
167.52,72.64
168.31,75.57
169.10,75.76
169.92,73.89
170.72,74.63
171.48,79.16
172.26,76.34
173.07,74.63
173.84,77.92
174.63,76.14
175.45,73.17
176.24,75.76
177.03,76.14
177.83,74.44
178.66,72.82
179.45,75.57
180.25,75.19
181.09,71.26
181.96,68.65
182.81,70.92
183.67,69.93
184.53,69.77
185.39,69.28
186.21,73.89
187.03,72.64
187.86,72.29
188.67,74.07
189.49,72.99
190.32,72.29
191.10,76.92
191.92,73.35
192.76,71.60
193.56,74.81
194.40,71.60
195.25,70.42
196.11,70.26
196.93,73.17
197.78,70.26
198.63,70.75
199.42,75.76
200.25,71.94
201.09,71.60
201.88,75.76
202.72,71.77
203.58,70.09
204.42,70.75
205.30,68.49
206.15,70.42
206.97,73.71
207.82,70.26
208.68,70.09
209.50,72.46
210.35,71.09
211.19,70.92
