tempo_s,bpm_ecg
1.62,86.21
2.31,86.71
3.02,84.99
3.69,89.82
4.34,91.74
4.98,93.17
5.66,88.50
6.40,81.08
7.11,85.23
7.80,86.21
8.51,84.75
9.25,80.86
9.97,84.03
10.65,87.21
11.34,87.98
12.04,84.75
12.73,87.46
13.39,90.63
14.07,88.76
14.75,87.72
15.45,86.46
16.10,92.02
16.75,91.46
17.41,90.91
18.08,90.36
18.71,94.94
19.35,93.17
20.01,91.74
20.68,89.02
21.33,92.88
21.99,90.63
22.68,87.21
23.40,83.33
24.09,87.21
24.78,86.96
25.47,86.46
26.20,81.74
26.95,80.21
27.65,85.71
28.35,86.46
29.04,86.71
29.71,89.82
30.34,94.64
30.99,92.59
31.66,89.82
32.38,82.42
33.12,81.30
33.91,76.34
34.72,74.26
35.51,75.19
36.24,82.64
36.96,83.80
37.67,84.03
38.40,82.19
39.08,88.50
39.78,85.47
40.51,82.64
41.27,78.53
42.02,80.21
42.74,83.57
43.44,85.23
44.16,83.80
44.88,83.33
45.60,82.64
46.30,85.96
46.99,87.46
47.67,87.21
48.37,86.21
49.06,86.71
49.74,88.24
50.41,90.09
51.08,89.02
51.79,84.75
52.56,78.12
53.38,73.17
54.20,73.17
54.96,78.33
55.72,79.58
56.48,78.33
57.23,80.86
57.96,81.97
58.71,79.37
59.50,76.53
60.25,80.21
61.02,77.52
61.76,81.52
62.53,77.52
63.33,75.19
64.07,81.08
64.79,83.33
65.49,85.47
66.15,90.63
66.79,93.75
67.41,97.72
68.02,98.04
68.65,94.94
69.33,87.72
70.02,86.96
70.69,90.63
71.38,86.71
72.14,78.33
72.86,84.03
73.52,90.63
74.19,89.29
74.84,92.88
75.50,90.63
76.14,93.75
76.79,92.31
77.44,92.31
78.07,95.85
78.71,92.88
79.36,92.59
80.02,91.19
80.68,91.19
81.31,94.64
81.95,93.75
82.59,93.17
83.23,94.64
83.86,95.24
84.50,94.04
85.19,86.21
85.93,81.08
86.72,76.14
87.46,80.65
88.21,80.43
88.93,83.10
89.66,81.97
90.39,82.42
91.12,81.97
91.88,79.79
92.63,79.37
93.38,79.79
94.06,89.29
94.72,89.82
95.39,90.09
96.05,90.36
96.73,88.50
97.39,90.91
98.04,92.88
98.69,91.74
99.32,95.85
99.95,95.24
100.59,93.46
101.29,86.21
101.97,87.98
102.64,88.76
103.34,86.21
104.08,81.08
104.78,85.47
105.45,89.29
106.12,90.63
106.79,88.76
107.46,90.36
108.08,96.77
108.71,94.34
109.35,94.34
109.98,95.24
110.58,100.00
111.19,97.40
111.82,96.46
112.42,99.01
113.04,97.40
113.64,99.34
114.25,98.04
114.85,101.01
115.45,99.34
116.06,98.68
116.69,94.64
117.33,94.04
117.96,95.24
118.61,92.02
119.32,85.23
120.05,81.74
120.73,87.98
121.42,87.21
122.14,84.03
122.88,80.21
123.61,82.87
124.31,85.47
124.99,87.72
125.68,87.21
126.38,86.46
127.09,84.27
127.82,82.42
128.59,77.72
129.35,78.33
130.17,73.35
131.01,71.43
131.76,79.79
132.52,79.37
133.27,80.00
134.05,77.32
134.77,82.64
135.47,85.47
136.17,85.71
136.91,81.30
137.73,73.53
138.56,71.77
139.33,78.74
140.10,77.72
140.87,78.12
141.62,79.37
142.33,84.75
143.04,84.75
143.74,85.47
144.43,87.46
145.13,85.71
145.88,79.79
146.72,71.26
147.49,77.92
148.27,77.12
149.06,76.14
149.84,76.92
150.56,83.33
151.28,82.42
152.01,82.64
152.74,82.19
153.43,86.96
154.13,85.47
154.85,83.57
155.54,86.46
156.22,88.50
156.93,84.75
157.67,81.08
158.42,80.21
159.09,88.76
159.73,94.34
160.39,90.91
161.06,89.29
161.73,90.09
162.40,89.55
163.07,89.02
163.72,92.02
164.35,96.46
164.98,94.94
165.63,91.46
166.36,82.42
167.14,77.52
167.84,84.75
168.56,83.80
169.28,82.87
170.03,80.65
170.72,86.96
171.39,89.55
172.05,91.19
172.72,88.50
173.43,85.23
174.12,86.46
174.80,88.76
175.43,95.24
176.06,95.54
176.72,89.82
177.43,85.23
178.11,87.98
178.79,88.24
179.47,88.24
180.15,88.50
180.81,90.36
181.48,90.36
182.09,97.72
182.72,94.64
183.36,94.64
184.02,91.19
184.67,92.02
185.34,88.76
186.06,84.03
186.73,89.55
187.43,85.23
188.14,84.27
188.87,82.64
189.55,87.98
190.24,87.72
190.92,87.98
191.60,87.72
192.24,93.46
192.90,91.74
193.55,92.31
194.20,92.02
194.84,94.04
195.51,89.82
196.24,81.52
197.05,73.89
197.82,78.74
198.64,73.17
199.46,73.17
200.21,79.58
200.99,77.32
201.76,77.92
202.49,81.74
203.22,81.74
203.99,78.53
204.75,78.33
205.47,83.33
206.19,84.03
206.88,86.96
207.53,92.02
208.20,89.55
208.87,89.55
209.58,84.03
210.37,76.73
211.19,73.17
211.96,77.72
212.75,75.38
213.56,74.44
214.31,79.79
215.05,81.52
215.79,81.08
216.53,80.65
217.25,83.80
217.96,84.51
218.65,86.71
219.32,89.02
219.97,92.88
220.61,94.04
221.26,92.31
221.94,88.24
222.59,91.46
223.28,87.21
223.96,89.02
224.60,92.88
225.26,90.91
225.92,91.46
226.56,94.04
227.20,93.75
227.82,95.85
228.43,99.01
229.05,96.77
229.67,96.77
230.30,95.54
230.91,98.36
231.54,94.04
232.21,90.36
232.85,92.88
233.51,92.02
234.17,90.09
234.87,85.71
235.53,91.46
236.19,90.36
236.86,90.36
237.51,92.02
238.14,95.24
238.76,96.15
239.38,96.77
239.99,98.68
240.61,97.09
241.24,95.54
241.88,93.75
242.51,94.04
243.17,91.46
243.84,89.55
244.54,86.21
245.24,85.23
245.92,87.98
246.61,87.46
247.31,85.23
248.04,82.42
248.77,82.42
249.50,81.74
250.25,80.00
251.03,77.32
251.74,83.80
252.45,84.75
253.16,84.75
253.88,82.87
254.60,83.57
255.32,83.80
256.07,79.37
256.89,73.71
257.64,80.00
258.36,83.57
259.05,86.46
259.75,85.23
260.47,83.33
261.16,86.96
261.81,92.31
262.46,92.59
263.10,94.04
263.75,91.74
264.39,94.34
265.01,96.77
265.63,96.77
266.25,97.40
266.89,92.59
267.58,87.21
268.23,92.02
268.91,88.76
269.61,85.96
270.32,84.51
270.99,88.76
271.65,91.46
272.30,92.88
272.93,94.64
273.55,97.09
274.19,94.04
274.86,88.50
275.54,89.29
276.27,81.52
277.05,77.12
277.74,86.71
278.38,93.75
279.04,91.46
279.68,92.88
280.34,92.02
281.00,90.63
281.66,90.36
282.31,92.59
282.92,98.68
283.54,96.77
284.15,98.68
284.75,99.01
285.36,99.01
285.94,103.45
286.56,95.85
287.19,95.24
287.86,89.55
288.57,85.47
289.27,85.71
290.01,81.08
290.71,85.23
291.43,83.10
292.15,83.57
292.88,81.74
293.60,83.57
294.27,89.82
294.93,90.91
295.58,91.74
296.23,93.46
296.85,95.85
297.49,93.46
298.15,92.02
298.85,85.71
299.55,85.71
300.21,90.63
300.89,88.24
301.57,87.46
302.29,83.33
302.96,90.63
303.58,95.54
304.21,95.54
304.91,85.71
305.64,82.87
306.37,81.97
307.09,83.10
307.79,85.71
308.45,90.63
309.10,92.02
309.75,92.88
310.38,95.24
311.04,90.63
311.70,91.19
312.37,90.09
313.05,88.24
313.72,88.76
314.37,92.88
315.02,92.31
315.68,90.36
316.34,91.74
317.00,90.63
317.65,92.02
318.29,93.75
