tempo_s,bpm_ecg
1.61,74.44
2.31,84.99
3.01,85.47
3.75,81.74
4.55,75.00
5.36,73.89
6.06,85.96
6.76,85.23
7.50,81.52
8.28,76.34
9.05,78.74
9.75,84.75
10.48,82.42
11.24,78.74
12.02,77.12
12.75,82.42
13.44,86.96
14.12,88.76
14.77,91.46
15.40,95.24
16.05,92.31
16.76,84.27
17.54,77.72
18.33,75.95
19.11,76.34
19.88,78.53
20.57,86.46
21.23,91.46
21.87,93.75
22.57,85.23
23.31,81.30
24.07,78.95
24.87,74.63
25.64,77.92
26.42,77.32
27.30,68.34
28.08,76.34
28.86,76.92
29.70,71.26
30.56,70.42
31.37,73.53
32.15,76.92
32.90,80.65
33.60,84.99
34.25,92.31
34.91,91.74
35.59,87.72
36.33,81.30
37.07,81.08
37.76,87.21
38.49,81.74
39.27,76.92
40.08,73.89
40.80,83.80
41.49,86.46
42.25,79.37
43.10,70.75
43.88,76.53
44.64,78.53
45.47,72.99
46.28,73.35
47.04,79.58
47.83,75.38
48.59,79.79
49.33,81.08
50.07,81.08
50.81,80.86
51.55,81.08
52.23,87.98
52.96,82.42
53.79,71.94
54.65,69.93
55.41,79.16
56.22,74.07
57.06,71.26
57.93,68.81
58.73,75.38
59.47,80.65
60.24,77.92
61.02,77.52
61.79,77.92
62.49,85.23
63.18,86.71
63.92,81.30
64.75,72.46
65.55,74.81
66.30,79.79
67.16,70.09
68.05,67.11
68.93,68.03
69.69,78.95
70.44,80.65
71.21,77.72
72.02,73.71
72.83,74.63
73.56,81.97
74.35,75.95
75.24,67.72
76.10,69.44
76.87,78.33
77.68,73.71
78.46,76.73
79.27,74.44
80.09,72.99
80.87,77.12
81.65,76.53
82.42,78.12
83.16,80.86
83.88,83.80
84.53,92.02
85.21,88.50
85.92,83.80
86.71,76.53
87.45,81.30
88.14,85.96
88.92,77.12
89.79,68.97
90.59,75.57
91.34,79.16
92.15,74.44
93.01,69.93
93.85,71.60
94.58,82.19
95.34,78.53
96.16,73.17
97.01,70.75
97.76,80.21
98.51,79.79
99.31,75.00
100.16,70.09
100.91,80.43
101.67,78.53
102.49,73.53
103.27,76.73
104.00,82.87
104.76,78.95
105.55,75.38
106.36,73.89
107.09,82.42
107.85,79.58
108.63,76.14
109.40,78.12
110.12,84.03
110.86,80.43
111.54,88.50
112.23,86.71
112.96,82.64
113.77,74.07
114.51,80.65
115.32,74.63
116.14,72.82
116.95,74.26
117.67,83.33
118.35,87.46
119.06,84.75
119.85,76.34
120.68,71.94
121.53,70.59
122.28,80.43
123.06,76.73
123.92,69.93
124.78,69.61
125.52,81.30
126.27,80.21
127.07,74.63
127.93,69.44
128.73,75.76
129.55,72.82
130.42,68.65
131.27,71.26
132.01,81.08
132.79,76.34
133.63,71.26
134.42,76.53
135.17,79.37
135.98,74.44
136.82,71.77
137.59,77.92
138.33,80.65
139.14,73.89
140.01,69.28
140.86,70.75
141.65,75.95
142.35,84.75
143.07,83.57
143.85,77.52
144.69,70.75
145.48,76.73
146.22,80.65
147.04,73.35
147.91,68.81
148.73,73.53
149.47,80.86
150.25,77.12
151.08,72.12
151.91,72.46
152.65,81.08
153.43,76.73
154.19,79.16
154.93,81.08
155.63,85.71
156.39,78.95
157.22,71.94
157.97,79.58
158.77,75.38
159.60,72.12
160.40,75.38
161.11,84.51
161.84,81.97
162.62,76.92
163.45,72.29
164.19,80.86
164.96,78.12
165.81,70.92
166.70,67.26
167.49,75.95
168.24,80.00
169.04,75.19
169.87,71.60
